Word(s),Spoken Form (If Different)
admin
DNS
keras
merplumander
Minecraft
VPN
yaml
matplotlib,mat plot lib
merplumander,mer plume mander
numpy,num pie
tensorflow,tens or flow
under-documented,under documented
pip
